"...2","7  Li ","9  Be ","11  B ","23  Na ","24  Mg ","31  P ","34  S ","39  K ","44  Ca ","47  Ti ","51  V ","52  Cr ","55  Mn ","57  Fe ","59  Co ","60  Ni ","63  Cu ","66  Zn ","75  As ","82  Se ","85  Rb ","88  Sr ","89  Y ","90  Zr ","95  Mo ","107  Ag ","111  Cd ","118  Sn ","121  Sb ","133  Cs ","137  Ba ","139  La ","140  Ce ","141  Pr ","146  Nd ","147  Sm ","153  Eu ","157  Gd ","159  Tb ","163  Dy ","165  Ho ","166  Er ","169  Tm ","172  Yb ","175  Lu ","178  Hf ","202  Hg ","205  Tl ","208  Pb ","sample","date","name","height","month","name_short"
"0819_ANT_85",66.6411402853719,0.458617147771013,246.842796914648,33618.9625877237,25485.4691427055,882.5899294579,0,8573.19295321658,204431.162920379,6934.5462590789,14.2608699951096,9.16546144416591,146.273149129264,3977.73544505118,1.83848772919236,5.38838583983036,31.4794491163147,36.3674783719209,10.7796951275804,0.094761369690432,36.8595593780665,2081.89468600048,3.98790630652283,21.83334362724,3.63094232962896,0.115278265181141,0.403252339377609,2.24219790467517,1.25826625846732,1.69414504771618,279.661832905644,4.40999756137965,8.95288496966644,1.00815904545595,3.99860759507502,0.777242868772073,0.273316971893337,0.797655150547018,0.113435391738412,0.665778374045183,0.138421202829488,0.379110221270852,0.0544580195443604,0.358078475320181,0.0508102805421942,0.581423319121066,0.0229039254345235,0.30385779861023,28.0138912747314,"0819_ANT_85","0819","ANT","85","August","AP"
"0819_ANT_50",67.0450253138496,0.410133477862414,263.118329138337,22583.3173607915,25728.8654190428,584.378413872058,0,5402.41746645473,278156.22805937,8235.95664932751,12.5561094880869,6.64306207336112,144.311281554897,3662.45720118349,1.97908952306468,4.79444884306858,21.7294159029014,27.465754843652,11.5160146449942,0.124337032829905,24.8099937152845,2838.48324861241,6.17017935105274,49.1456854985614,2.17095572102875,0.0870401430213554,0.296528066106164,1.48650829906454,1.12592981688788,1.45902128593682,292.277266506117,6.11284941854915,12.6179775484308,1.3380213425945,5.38116554756684,1.0854932057162,0.27766374787361,1.0880383758609,0.160362609877628,0.976350782299333,0.206289823274514,0.585789558996008,0.0855802077209582,0.576913917266925,0.0867301034127624,1.2246461652008,0.0174648047209399,0.248064855894132,31.0623861205919,"0819_ANT_50","0819","ANT","50","August","AP"
"0819_ANT_15",76.2972584832189,0.522307612868534,261.329955169389,NA,25712.8699894154,667.982691900978,0,6661.2854225113,203046.778204672,7159.45470967902,13.7690979025214,8.46480794763238,155.945946268627,4154.56352273434,2.00784660223962,4.97018488827946,26.3254833549163,32.0083244318241,11.5682442419265,0.0780762225016851,30.4397906766904,2123.6546660361,5.20608954053726,29.4565196361925,3.30779490107951,0.0899765336965165,0.390454498844549,1.60363182425658,1.3193605298127,1.58216995977057,283.977796624978,5.85290219794632,12.0187267962624,1.2717921773418,5.12156000378759,1.0328525282491,0.304032012770333,1.03675211930931,0.152286807268237,0.92087500182335,0.189090997439787,0.533427065772488,0.0794524603213328,0.509735036109341,0.0753069514209562,0.806131403921926,0.0142116507724449,0.242332251810992,32.0253448537364,"0819_ANT_15","0819","ANT","15","August","AP"
"0819_SYR_85",80.0826383583424,0.51586636739692,299.976250425902,NA,43152.8791613769,1481.63947739836,0,6511.25101135884,99580.3392746778,15105.660499911,23.1106287889433,19.3271036538722,278.134599477011,5263.63707277091,3.07556019047242,8.56478356925165,55.9201501885249,82.3462531568273,14.1458865523258,0.103196119471836,36.2555226363465,967.270806460103,6.27354707945177,44.2934830066061,4.37874334387071,0.196683563701712,1.36936465098165,3.70538779839761,2.60626937078888,3.82896939979846,227.667533105134,7.89127010730666,16.0710882499729,1.78852743286203,7.04696250556521,1.35019775748072,0.299369666183327,1.29690748112033,0.184743163340394,1.06346199522831,0.228205975367953,0.635672449825907,0.0951347324394837,0.611565223538254,0.0902474730378,1.31079247644203,0.0380907075910616,0.216032869917962,47.554972463193,"0819_SYR_85","0819","SYR","85","August","SP"
"0819_SYR_50",83.9585655386899,0.607632930805688,300.433587857326,90637.7212911557,45387.613741304,1562.1092222348,0,6986.14583364639,106755.673223242,16726.7823865321,24.234726823933,20.9677329047849,302.556312639933,6404.83006969603,3.27978020053856,9.26349009248287,59.7011242310195,85.8722060846888,16.7209752030027,0.0322820648657123,40.4926772777118,1018.69995641586,6.75418116711245,44.7154926058583,3.05359196970793,0.205745941207194,1.23377444946699,4.58911678780996,2.54271000425704,4.15869396360174,255.827744970067,9.01857167796944,17.3672620116657,2.01063877726805,7.8997469688567,1.47780122063494,0.336745392512331,1.44445668753034,0.205049252417276,1.18571524370731,0.246700701133376,0.67110323114707,0.10278802150944,0.659163866243427,0.0970090598612212,1.21727618523406,0.0193596778762199,0.184640071512113,51.1676459234985,"0819_SYR_50","0819","SYR","50","August","SP"
"0819_SYR_15",83.759097453903,0.635944806869132,321.617291539332,66299.3846672008,45393.2178461648,1492.30282931539,0,7589.29542755305,114573.591862562,19126.4488685813,27.1040579682659,25.3013273688384,336.969618061605,7352.46850215977,3.55764776698793,9.73620848947717,56.4018894546314,88.2981561654228,19.2325733456832,0.127151175685767,42.8923564677828,1054.34862849837,9.0986905344067,70.27913657672,3.40893811411073,0.210229313133563,1.2645078671904,3.72279213982517,2.40491134937145,4.32212366371485,268.518271184915,10.7285596025802,20.6678032157355,2.29651972092372,9.08513211676518,1.74219787217139,0.386587649719158,1.71014315810511,0.241857330285815,1.43737093644086,0.305104307239744,0.855904004327816,0.128604269811754,0.833357261300094,0.125468036127616,1.91584821879176,0.0275857410978776,0.246889706543819,49.5748670808699,"0819_SYR_15","0819","SYR","15","August","SP"
"0819_KAYS_85",33.1785853745226,0.169166444241394,136.509473595613,NA,16619.7020745293,362.869367419687,0,2066.3724178481,86112.8130988984,4653.43242276402,7.36746903270808,5.41320570575373,152.60948074952,1925.00111538779,1.15945352061948,2.79990578695117,19.1979526314608,23.0096476755296,6.67816201262787,0.0658208359172594,11.0504294795458,878.153109986002,2.2172237582268,11.5300784165257,1.01740028820258,0.10188090836889,3.0534944394084,1.20946843213404,0.858249265575713,1.02527614929565,87.2641959671705,2.4018880540637,4.77124496676744,0.549335225873648,2.19079979515819,0.430388668464845,0.10487293064697,0.430180544137336,0.0626583382701576,0.378845197741234,0.0758559491615591,0.219996868500172,0.0309958866093939,0.211499321752801,0.0311773967461646,0.334384625089916,0.0197648968018949,0.090240264411587,34.0170606729197,"0819_KAYS_85","0819","KAYS","85","August","KP"
"0819_KAYS_50",66.3152646401262,0.2574580097879,299.250127541662,NA,30084.0010740114,647.694087089521,0,3133.25006677565,186924.921901619,6547.38413846012,12.7719267499009,7.42916997000737,312.604762866096,3101.58147554767,2.18893154169518,4.70984146792857,25.4109606422238,36.328807417472,11.5216466759387,0.0764045536723721,17.3219681772894,1918.03532954111,4.24199149549788,24.0369467719752,1.97822418737907,0.0775066955508821,1.44158482998489,1.32877374116125,2.46838659216762,1.6481182786761,171.624611225525,3.98866522850012,8.54960572220396,0.913825130795598,3.70818106673249,0.761099244067204,0.19251563982427,0.795465544914656,0.119972153456055,0.705510845292995,0.149332430221526,0.421981106895613,0.0612035427039851,0.400138807777288,0.0578132308112395,0.654797664465278,0.0208436518038803,0.160559682274378,50.8641614503691,"0819_KAYS_50","0819","KAYS","50","August","KP"
"0819_KAYS_15",69.6697550722083,0.312672955525557,336.695197984739,NA,33047.166747276,559.215526114377,0,3685.29216022043,199168.815154921,7902.23231702766,14.8364853362257,10.0505606587427,240.277576292836,4088.162780118,2.63752929395603,5.31175885226358,29.3885568526402,45.1009832824357,15.1961931750262,0.0872740140342337,20.5992191025554,2145.54756582721,5.24965719544527,24.518820255732,1.70999314309387,0.0676584972009038,0.986484565266986,1.39888344114771,1.65897019782214,1.935494751194,182.429171599921,5.43052573285165,11.0236273825368,1.21273384594507,4.96247060124237,1.00733884836293,0.232492567665421,0.997341709596805,0.142654199735428,0.842904049939918,0.173026551395971,0.479532055834855,0.0703890021786946,0.453867334449871,0.065555601006552,0.677264056745222,0.0168336395636173,0.158231696578248,59.4656327437397,"0819_KAYS_15","0819","KAYS","15","August","KP"
"0819_LAYT_85",49.0020661105072,0.121280111407753,152.496653249235,162992.799469982,19577.6481236304,447.932785374045,33.5681811812573,1942.57612144081,159985.54970672,3891.63016324832,8.02130996963776,6.39740686379373,119.242488417097,2152.09491910249,1.51499786273516,3.3451158698534,18.1161491658914,33.3593028522114,8.4161129331694,0.0724329900650719,10.562305653958,1698.4299724762,2.90097104597131,12.5419082391874,1.06248392610419,0.0612248609989448,1.34791678733729,1.93216915703624,0.908212912513322,0.998146511267005,94.0890777454214,2.68135960088851,5.6793260876015,0.637274236555793,2.6658055312365,0.527497189596423,0.13355982161804,0.59126465728048,0.08947979947369,0.528578516572271,0.10201096992252,0.285261069817332,0.0399396785628083,0.256743962174631,0.0380119821435225,0.338587723355825,0.0265642397860508,0.0284396165344645,37.1370405100674,"0819_LAYT_85","0819","LAYT","85","August","LP"
